gr,recn,yearStart,yearEnd
SP63,3,1987,2005
SP80,5,1987,2019
SP70,3,1987,1987
SU99,3,1987,1987
SP91,2,1988,2024
SU89,1,2012,2012
SP73,1,2021,2021
