gr,recn,yearStart,yearEnd
TL00,2,1900,1900
SP51,2,1923,2017
SU98,3,1967,2022
SU97,3,1976,1989
SU88,1,1979,1979
SP61,8,1980,2018
TQ09,2,1983,1983
SU89,6,1986,2017
TQ07,2,1987,1987
TQ08,4,1991,2018
SP83,3,1996,1996
SP84,8,1996,2024
SP90,9,2003,2022
SP80,10,2003,2024
SP91,4,2005,2023
SP81,3,2006,2014
SP72,2,2008,2018
SU99,3,2013,2015
TL01,1,2019,2019
SP70,2,2020,2020
SP94,5,2022,2022
SU79,1,2022,2022
SP92,1,2024,2024
