taxon,period,count
taxon,1900,2
taxon,1923,1
taxon,1967,2
taxon,1976,1
taxon,1978,1
taxon,1979,1
taxon,1980,2
taxon,1983,2
taxon,1986,2
taxon,1987,2
taxon,1989,1
taxon,1991,2
taxon,1996,5
taxon,2003,6
taxon,2005,1
taxon,2006,1
taxon,2008,3
taxon,2009,2
taxon,2012,2
taxon,2013,1
taxon,2014,2
taxon,2015,3
taxon,2016,1
taxon,2017,7
taxon,2018,4
taxon,2019,2
taxon,2020,4
taxon,2021,2
taxon,2022,14
taxon,2023,3
taxon,2024,3
