taxon,period,count
taxon,1911,1
taxon,1927,1
taxon,1996,1
taxon,1998,1
taxon,2011,1
taxon,2012,1
taxon,2015,1
taxon,2018,1
taxon,2020,2
taxon,2021,4
taxon,2022,2
taxon,2024,1
