gr,recn,yearStart,yearEnd
SU9892,1,2021,2021
SP9515,17,2021,2024
TQ0389,3,2021,2023
SP8339,3,2021,2023
SP6329,1,2021,2021
SP9313,4,2021,2022
SP7515,1,2021,2021
SP6010,1,2021,2021
SU9190,3,2021,2024
SU8895,9,2021,2024
SU7897,2,2021,2023
SU9691,1,2022,2022
SP8348,1,2022,2022
TQ0487,1,2022,2022
SP8410,1,2022,2022
SP8345,3,2022,2023
SU8499,1,2022,2022
SU8599,1,2022,2022
SP8741,5,2022,2022
SP8535,1,2022,2022
SP7644,1,2022,2022
SP8746,2,2022,2023
SU9085,2,2022,2023
SU7888,1,2022,2022
SP7702,2,2022,2023
SP8618,1,2022,2022
SP8846,72,2022,2024
SU7586,3,2022,2024
SP7939,1,2022,2022
SU9288,1,2022,2022
SP8946,1,2022,2022
SP6920,1,2022,2022
SP7021,1,2022,2022
SP6908,1,2022,2022
SP6619,1,2022,2022
SP6420,1,2022,2022
SU8287,1,2022,2022
SP8500,1,2022,2022
SP7311,1,2022,2022
SP9046,9,2022,2023
SP8639,2,2022,2023
SP8211,1,2022,2022
SP8005,1,2022,2022
SP9011,2,2022,2023
SP9714,1,2022,2022
TQ0289,1,2022,2022
SP8541,1,2023,2023
SP8140,6,2023,2024
SP8641,1,2023,2023
SU8898,1,2023,2023
SU8099,2,2023,2023
SP9110,1,2023,2023
SP9051,2,2023,2023
SP9413,1,2023,2023
SU7787,1,2023,2023
SP6534,1,2023,2023
SU8999,1,2023,2023
SP8234,2,2023,2023
SP9212,1,2023,2023
SP8800,1,2023,2023
SU9893,1,2023,2023
SP8850,3,2023,2024
SP9615,4,2023,2024
SU9592,1,2023,2023
SU9084,2,2023,2023
SU8492,5,2024,2024
SU9584,1,2024,2024
SU8692,1,2024,2024
SP8542,1,2024,2024
SP8845,1,2024,2024
SU7690,1,2024,2024
SP9334,1,2024,2024
SU7488,1,2024,2024
SP8603,1,2024,2024
SU9379,1,2024,2024
SP9128,1,2024,2024
SU9597,1,2024,2024
SU9996,2,2024,2024
