taxon,period,count
taxon,31,6
taxon,1,7
taxon,22,6
taxon,24,2
taxon,28,3
taxon,20,3
taxon,33,1
taxon,18,2
taxon,25,4
taxon,36,1
taxon,38,1
taxon,30,5
taxon,21,6
taxon,35,1
taxon,19,3
taxon,26,5
taxon,29,2
taxon,34,1
taxon,27,1
taxon,37,1
taxon,23,2
taxon,32,1
taxon,17,1
