taxon,period,count
taxon,25,3
taxon,28,7
taxon,1,1
taxon,22,1
taxon,29,4
taxon,27,4
taxon,26,2
taxon,31,2
taxon,18,1
taxon,23,3
taxon,24,3
taxon,32,1
