taxon,period,count
taxon,1,3
taxon,27,4
taxon,29,5
taxon,28,10
taxon,25,8
taxon,31,2
taxon,23,3
taxon,24,4
taxon,22,1
taxon,26,2
taxon,33,2
taxon,36,1
