taxon,period,count
taxon,1,4
taxon,30,3
taxon,31,3
taxon,28,18
taxon,27,24
taxon,25,20
taxon,29,9
taxon,26,15
taxon,24,10
taxon,33,2
taxon,23,5
taxon,22,2
taxon,35,2
taxon,32,1
