taxon,period,count
taxon,28,21
taxon,29,10
taxon,32,2
taxon,30,9
taxon,1,1
taxon,18,1
taxon,31,5
taxon,24,2
taxon,25,3
taxon,26,4
taxon,33,2
taxon,27,6
taxon,34,2
taxon,23,1
