taxon,period,count
taxon,16,194
taxon,1,16
taxon,18,83
taxon,14,178
taxon,17,117
taxon,21,26
taxon,20,60
taxon,19,66
taxon,22,26
taxon,24,2
taxon,25,4
taxon,13,138
taxon,11,7
taxon,15,215
taxon,23,9
taxon,12,73
taxon,10,1
