taxon,period,count
taxon,28,11
taxon,29,3
taxon,32,1
taxon,24,6
taxon,26,2
taxon,1,5
taxon,27,8
taxon,30,2
taxon,18,1
taxon,23,1
taxon,21,1
taxon,22,1
taxon,25,3
taxon,34,1
