gr,recn,yearStart,yearEnd
SP91H,4,1987,2023
SP80U,3,1987,1987
SP70R,3,1987,1987
SU98Y,2,1987,1987
SP70Q,2,1987,1987
TQ07C,1,2017,2017
SP91M,1,2022,2022
SP84Y,2,2024,2024
