gr,recn,yearStart,yearEnd
SU89M,2,1978,1986
SP61Z,3,1984,2018
SU89S,1,1986,1986
TQ07C,2,1986,1986
SU97W,1,1989,1989
SP91H,2,1993,2002
SP84K,1,1996,1996
SP83I,1,1996,1996
SP83H,1,1996,1996
TQ08N,1,1996,1996
SU89N,2,1996,2018
SP80I,13,2005,2024
SP81B,7,2007,2021
SU89W,2,2012,2012
SU89I,1,2018,2018
SP80B,1,2020,2020
SP80H,1,2020,2020
SP72A,1,2020,2020
SP92C,1,2021,2021
SP80Z,2,2021,2022
SP84Y,15,2022,2024
SP90E,1,2022,2022
SP94D,1,2022,2022
SP71R,1,2022,2022
