gr,recn,yearStart,yearEnd
SP80N,2,2009,2009
SP61A,1,2014,2014
SP91H,1,2019,2019
SP71D,2,2020,2022
SP62V,2,2021,2022
SP80H,1,2021,2021
SU98D,1,2022,2022
SP84Y,3,2022,2024
SP62Q,1,2023,2023
SP82D,1,2023,2023
TQ08I,1,2023,2023
SP80Z,1,2024,2024
